"","carat","cut","color","clarity","depth_percent","table","price","length","width","depth"
"63",0.7,"Ideal","D","SI1",61.8,56,2822,5.73,5.63,3.51
"64",0.7,"Ideal","D","SI1",61.4,54,2822,5.75,5.71,3.52
"65",0.79,"Very Good","D","SI2",62.8,59,2823,5.86,5.9,3.69
"66",0.71,"Premium","D","VS2",61.2,59,2824,5.74,5.69,3.5
"67",0.7,"Very Good","D","VS2",63.3,56,2826,5.6,5.58,3.54
"68",0.7,"Very Good","D","SI1",62.3,59,2827,5.67,5.7,3.54
"69",0.72,"Good","D","VS2",64,54,2827,5.68,5.7,3.64
"70",0.7,"Ideal","D","SI2",60.6,57,2828,5.74,5.77,3.49
"71",0.7,"Very Good","D","VS2",59.6,61,2833,5.77,5.8,3.45
"72",0.7,"Ideal","D","VS2",61,57,2833,5.74,5.76,3.51
"73",0.51,"Very Good","D","VVS1",59.9,58,2834,5.16,5.19,3.1
"74",0.92,"Ideal","D","SI2",61.9,56,2840,6.27,6.2,3.86
"75",0.71,"Very Good","D","VS1",63.4,55,2841,5.69,5.61,3.58
"76",0.73,"Very Good","D","SI1",63.9,57,2841,5.66,5.71,3.63
"77",0.73,"Ideal","D","SI1",61.4,57,2841,5.76,5.8,3.55
"78",0.71,"Very Good","D","SI1",61.5,58,2843,5.73,5.79,3.54
"79",0.79,"Ideal","D","SI1",61.5,56,2846,5.96,5.91,3.65
"80",0.76,"Premium","D","SI1",61.1,59,2847,5.93,5.88,3.61
"81",0.54,"Ideal","D","VVS2",61.5,55,2848,5.25,5.29,3.24
"82",0.75,"Fair","D","SI2",64.6,57,2848,5.74,5.72,3.7
"83",0.66,"Ideal","D","VS1",62.1,56,2851,5.54,5.57,3.45
"84",0.79,"Ideal","D","SI2",62.8,57,2853,5.9,5.85,3.69
"85",0.79,"Premium","D","SI2",60,60,2853,6.07,6.03,3.63
"86",0.74,"Premium","D","VS2",62.4,57,2855,5.8,5.74,3.6
"87",0.73,"Ideal","D","SI1",61.5,56,2858,5.84,5.8,3.58
"88",0.71,"Premium","D","VS2",60.4,62,2858,5.74,5.72,3.46
"89",0.71,"Fair","D","VS2",56.9,65,2858,5.89,5.84,3.34
"90",0.7,"Ideal","D","VS2",61,57,2859,5.76,5.74,3.51
"91",0.7,"Premium","D","VS2",62.4,56,2859,5.72,5.66,3.55
"92",0.7,"Premium","D","VS2",59.6,61,2859,5.8,5.77,3.45
"93",0.71,"Premium","D","VS1",62.9,57,2860,5.66,5.6,3.54
"94",0.71,"Premium","D","SI1",60.7,58,2861,5.95,5.78,3.56
"95",0.66,"Premium","D","VS1",61,58,2861,5.67,5.57,3.43
"96",0.7,"Very Good","D","SI1",62.5,55,2862,5.67,5.72,3.56
"97",0.8,"Very Good","D","SI2",62.5,59,2862,5.88,5.92,3.69
"98",0.71,"Ideal","D","SI1",60.8,56,2863,5.8,5.77,3.52
"99",0.71,"Premium","D","SI1",61,61,2863,5.82,5.75,3.53
"100",0.71,"Premium","D","SI1",59.7,59,2863,5.82,5.8,3.47
"101",0.71,"Premium","D","SI1",61.7,56,2863,5.8,5.68,3.54
"102",0.71,"Ideal","D","SI1",61.7,57,2863,5.75,5.7,3.53
"103",0.71,"Premium","D","SI1",61.4,58,2863,5.79,5.75,3.54
"104",0.71,"Premium","D","SI1",60.6,58,2863,5.79,5.77,3.5
"105",0.73,"Premium","D","SI1",60.8,55,2865,5.87,5.81,3.55
"106",0.56,"Very Good","D","VVS1",62,56,2866,5.25,5.3,3.27
"107",0.56,"Very Good","D","VVS1",61.8,55,2866,5.27,5.31,3.27
"108",0.7,"Ideal","D","VS2",62.4,57,2867,5.68,5.61,3.52
"109",1.08,"Premium","D","I1",61.9,60,2869,6.55,6.48,4.03
"110",0.7,"Good","D","SI1",62.5,56.7,2872,5.59,5.62,3.51
"111",0.75,"Very Good","D","SI1",60.7,55,2872,5.87,5.92,3.58
"112",0.7,"Ideal","D","SI1",61.8,56,2872,5.63,5.73,3.51
"113",0.7,"Ideal","D","SI1",61.4,54,2872,5.71,5.75,3.52
"114",0.7,"Ideal","D","SI1",60.7,56,2872,5.72,5.75,3.48
"115",0.7,"Very Good","D","SI1",60.2,60,2872,5.75,5.82,3.48
"116",0.71,"Premium","D","VS2",61.2,59,2874,5.69,5.74,3.5
"117",0.79,"Very Good","D","SI2",59.7,58,2878,6,6.07,3.6
"118",0.74,"Very Good","D","SI1",63.9,57,2880,5.72,5.74,3.66
"119",0.72,"Ideal","D","SI1",61.8,56,2883,5.75,5.81,3.57
"120",0.77,"Ideal","D","SI2",61.5,55,2885,5.9,5.93,3.64
"121",0.9,"Fair","D","SI2",66.9,57,2885,6.02,5.9,3.99
"122",0.71,"Very Good","D","SI1",62.4,54,2887,5.71,5.79,3.59
"123",0.72,"Ideal","D","SI1",61.1,56,2891,5.78,5.81,3.54
"124",0.71,"Good","D","VS2",62.3,61,2891,5.7,5.73,3.56
"125",0.79,"Ideal","D","SI1",61.5,56,2896,5.91,5.96,3.65
"126",0.77,"Ideal","D","SI2",62.1,56,2896,5.83,5.89,3.64
"127",0.6,"Very Good","D","VVS2",60.6,57,2897,5.48,5.51,3.33
"128",0.54,"Ideal","D","VVS2",61.4,52,2897,5.3,5.34,3.26
"129",0.74,"Premium","D","VS2",61.8,58,2897,5.81,5.77,3.58
"130",0.75,"Ideal","D","SI1",62.3,55,2898,5.83,5.8,3.62
"131",0.77,"Ideal","D","SI1",62.6,57,2898,5.92,5.81,3.67
"132",0.72,"Premium","D","VS1",62.7,58,2900,5.68,5.65,3.55
"133",0.75,"Premium","D","SI1",62.8,60,2903,5.78,5.74,3.62
"134",0.75,"Ideal","D","SI1",62.3,57,2903,5.83,5.8,3.62
"135",0.72,"Ideal","D","SI1",61.9,55,2903,5.78,5.75,3.57
"136",0.72,"Premium","D","SI1",61.4,59,2903,5.79,5.71,3.53
"137",0.79,"Very Good","D","SI2",62.8,57,2904,5.85,5.9,3.69
"138",0.53,"Ideal","D","VVS1",62.5,54,2905,5.16,5.21,3.24
"139",0.74,"Very Good","D","VS2",62.4,57,2906,5.74,5.8,3.6
"140",0.32,"Ideal","D","SI1",61.3,55,558,4.41,4.46,2.72
"141",0.7,"Premium","D","VS2",61,60,2909,5.75,5.7,3.49
"142",0.7,"Premium","D","VS2",60.9,57,2909,5.71,5.69,3.47
"143",0.71,"Very Good","D","VS1",62.9,57,2910,5.6,5.66,3.54
"144",0.7,"Very Good","D","VS2",60.7,60,2913,5.72,5.74,3.48
"145",0.71,"Premium","D","SI1",61.4,58,2913,5.75,5.79,3.54
"146",0.71,"Premium","D","SI1",60.6,58,2913,5.77,5.79,3.5
"147",0.71,"Very Good","D","SI1",61.7,56,2913,5.68,5.8,3.54
"148",0.71,"Ideal","D","SI1",61.7,57,2913,5.7,5.75,3.53
"149",0.71,"Premium","D","SI1",59.7,59,2913,5.8,5.82,3.47
"150",0.83,"Very Good","D","SI2",63.1,57,2918,5.95,5.9,3.74
"151",0.71,"Very Good","D","SI1",60.1,60,2921,5.76,5.79,3.47
"152",0.77,"Ideal","D","SI2",60.6,56,2922,5.95,5.9,3.59
"153",0.77,"Ideal","D","SI2",60.2,56,2923,5.98,6.04,3.62
"154",0.8,"Very Good","D","SI1",58.2,63,2925,6.07,6.03,3.52
"155",0.81,"Good","D","SI2",63.6,55,2926,5.91,5.86,3.74
"156",0.7,"Very Good","D","VS2",60.8,59,2928,5.67,5.71,3.46
"157",0.59,"Very Good","D","VVS2",60.6,59,2933,5.44,5.49,3.31
"158",0.75,"Good","D","SI2",57.6,56,2933,5.98,6.07,3.47
"159",0.71,"Ideal","D","SI2",62,54,2934,5.77,5.74,3.57
"160",0.7,"Ideal","D","SI2",62.6,54,2936,5.69,5.72,3.57
"161",0.77,"Premium","D","SI1",59.5,60,2939,6.01,5.95,3.56
"162",0.76,"Premium","D","SI1",61.6,59,2942,5.84,5.82,3.59
"163",0.73,"Ideal","D","SI1",61.4,56,2943,5.82,5.78,3.56
"164",0.57,"Very Good","D","VVS1",60.4,57,2945,5.39,5.44,3.27
"165",0.78,"Very Good","D","SI1",62.4,58,2945,5.86,5.9,3.67
"166",0.73,"Premium","D","VS2",60.9,59,2947,5.82,5.77,3.53
"167",0.73,"Ideal","D","SI1",61.2,57,2947,5.79,5.81,3.55
"168",0.77,"Ideal","D","SI1",62.6,57,2949,5.81,5.92,3.67
"169",0.71,"Premium","D","VS2",62.1,60,2950,5.72,5.68,3.54
"170",0.72,"Very Good","D","VS1",62.7,58,2951,5.65,5.68,3.55
"171",0.72,"Ideal","D","SI1",61.9,55,2954,5.75,5.78,3.57
"172",0.72,"Premium","D","SI1",61.4,59,2954,5.71,5.79,3.53
"173",0.75,"Ideal","D","SI1",62.3,57,2954,5.8,5.83,3.62
"174",0.82,"Very Good","D","SI1",63.1,58,2954,5.97,5.95,3.76
"175",0.7,"Premium","D","VS1",60.4,58,2956,5.78,5.71,3.47
"176",0.56,"Very Good","D","VVS1",60.1,58,2959,5.36,5.42,3.24
"177",0.7,"Very Good","D","VS2",63,56,2960,5.61,5.69,3.56
"178",0.7,"Good","D","VS2",63.4,57,2960,5.6,5.67,3.57
"179",0.7,"Ideal","D","VS2",61.3,57,2960,5.72,5.76,3.52
"180",0.63,"Ideal","D","VVS2",62.6,56,2962,5.47,5.49,3.43
"181",0.71,"Very Good","D","SI1",59.4,59,2964,5.78,5.81,3.44
"182",0.71,"Premium","D","VS2",58.7,61,2968,5.88,5.85,3.44
"183",0.77,"Ideal","D","SI2",60.6,56,2973,5.9,5.95,3.59
"184",1,"Fair","D","SI2",69.3,58,2974,5.96,5.87,4.1
"185",0.76,"Premium","D","VS2",60.9,58,2977,5.9,5.85,3.58
"186",0.7,"Good","D","SI1",61.3,61,2980,5.63,5.69,3.47
"187",0.7,"Very Good","D","VS2",63.1,56,2985,5.62,5.69,3.57
"188",0.74,"Ideal","D","SI1",61.5,56,2987,5.8,5.84,3.58
"189",0.83,"Premium","D","SI1",61.3,58,2990,6.03,6,3.69
"190",0.7,"Ideal","D","VS2",60.3,60,2991,5.71,5.76,3.46
"191",0.72,"Ideal","D","SI1",61.1,59,2993,5.76,5.8,3.53
"192",0.81,"Premium","D","SI2",61.7,58,2994,5.97,5.93,3.67
"193",0.73,"Ideal","D","SI1",61.4,56,2995,5.78,5.82,3.56
"194",0.77,"Ideal","D","SI1",61.4,56,2996,5.9,5.93,3.63
"195",0.7,"Ideal","D","VS2",62.8,57,2998,5.69,5.75,3.59
"196",0.7,"Very Good","D","VS2",59.7,59,2999,5.82,5.78,3.46
"197",0.72,"Very Good","D","SI1",61.5,58,3001,5.74,5.78,3.54
"198",0.7,"Premium","D","VS1",61.6,61,3001,5.66,5.61,3.47
"199",0.7,"Good","D","VS1",63.6,60,3001,5.61,5.52,3.54
"200",0.7,"Very Good","D","VS1",63.4,59,3001,5.58,5.55,3.53
"201",0.71,"Premium","D","VS2",62.1,60,3002,5.68,5.72,3.54
"202",1.01,"Fair","D","SI2",64.6,56,3003,6.31,6.24,4.05
"203",0.65,"Premium","D","VVS2",59.9,58,3003,5.69,5.63,3.39
"204",0.92,"Premium","D","SI2",60.2,61,3004,6.32,6.27,3.79
"205",0.55,"Premium","D","VVS1",60.3,59,3006,5.34,5.3,3.21
"206",0.76,"Ideal","D","SI1",61.2,57,3007,5.88,5.91,3.61
"207",0.7,"Very Good","D","VS1",60.4,58,3008,5.71,5.78,3.47
"208",0.8,"Ideal","D","SI1",62.2,57,3011,5.89,5.85,3.65
"209",0.77,"Ideal","D","SI2",62.3,55,3011,5.9,5.85,3.66
"210",0.9,"Premium","D","SI1",62.2,60,3013,6.08,6.05,3.77
"211",0.73,"Very Good","D","SI1",60.8,59,3014,5.8,5.85,3.54
"212",0.72,"Very Good","D","VS2",62.1,59,3016,5.7,5.73,3.55
"213",0.5,"Good","D","VVS2",62.4,64,3017,5.03,5.06,3.14
"214",0.78,"Premium","D","SI1",60.4,57,3019,6.02,5.97,3.62
"215",0.71,"Ideal","D","VS2",60.4,53,3020,5.81,5.85,3.52
"216",0.75,"Good","D","SI1",63.6,58,3024,5.77,5.65,3.63
"217",0.75,"Premium","D","SI1",59.2,58,3024,5.96,5.93,3.52
"218",0.65,"Very Good","D","VVS2",57.7,60,3025,5.69,5.74,3.3
"219",0.71,"Very Good","D","VS2",63,57,3033,5.67,5.7,3.58
"220",0.7,"Good","D","VS2",64.1,59,3033,5.56,5.49,3.54
"221",0.7,"Very Good","D","VS2",63.2,60,3033,5.61,5.56,3.53
"222",0.7,"Good","D","VS2",63.9,58,3033,5.62,5.58,3.58
"223",0.78,"Ideal","D","SI1",62.4,57,3035,5.87,5.89,3.67
"224",0.71,"Ideal","D","SI1",60.6,57,3035,5.82,5.72,3.5
"225",0.74,"Premium","D","SI1",62.4,59,3036,5.73,5.8,3.6
"226",0.61,"Ideal","D","VVS2",62.4,58,3036,5.38,5.42,3.37
"227",0.77,"Very Good","D","SI1",62.1,58,3040,5.84,5.89,3.64
"228",0.71,"Very Good","D","VS2",62.8,56,3045,5.67,5.7,3.57
"229",0.72,"Premium","D","VS2",60.2,60,3045,5.76,5.81,3.48
"230",0.75,"Very Good","D","SI1",59.7,62,3046,5.89,5.94,3.53
"231",0.73,"Fair","D","VS1",66,54,3047,5.56,5.66,3.7
"232",0.75,"Very Good","D","SI1",61.8,57,3048,5.78,5.81,3.58
"233",0.72,"Premium","D","SI1",60.5,57,3048,5.89,5.85,3.55
"234",0.72,"Premium","D","SI1",62.6,54,3048,5.78,5.72,3.6
"235",0.66,"Ideal","D","VVS2",61.6,57,3049,5.64,5.57,3.45
"236",0.62,"Very Good","D","VVS2",58.1,63,3050,5.59,5.66,3.27
"237",0.7,"Very Good","D","VS2",62.5,55,3052,5.65,5.71,3.55
"238",0.7,"Very Good","D","VS2",62.6,58,3053,5.67,5.7,3.56
"239",0.7,"Very Good","D","VS1",62.9,60,3054,5.62,5.67,3.55
"240",0.65,"Very Good","D","VVS2",59.9,58,3056,5.63,5.69,3.39
"241",0.92,"Very Good","D","SI2",60.2,61,3057,6.27,6.32,3.79
"242",0.79,"Premium","D","SI1",61.4,59,3058,5.96,5.89,3.64
"243",0.72,"Ideal","D","SI1",61.5,56.5,3062,5.76,5.79,3.55
"244",0.85,"Very Good","D","SI2",61.4,60,3066,6.05,6.13,3.74
"245",0.7,"Good","D","VS2",58,65,3073,5.81,5.73,3.39
"246",0.72,"Very Good","D","VS2",61.8,58,3075,5.73,5.76,3.55
"247",0.72,"Very Good","D","VS2",62.6,59,3075,5.69,5.72,3.57
"248",0.7,"Very Good","D","SI1",62.4,57,3075,5.64,5.67,3.53
"249",0.76,"Ideal","D","SI1",62.8,57,3075,5.81,5.85,3.66
"250",0.71,"Fair","D","VS2",64.7,58,3077,5.61,5.58,3.62
"251",0.71,"Premium","D","VS2",60.3,62,3077,5.76,5.69,3.45
"252",0.75,"Good","D","SI1",63.6,58,3078,5.65,5.77,3.63
"253",0.83,"Premium","D","SI2",62.7,56,3078,6.01,5.98,3.76
"254",0.91,"Fair","D","SI2",62.5,66,3079,6.08,6.01,3.78
"255",0.79,"Very Good","D","SI2",63.2,57,3081,5.81,5.86,3.69
"256",0.7,"Good","D","VS2",57.7,60,3082,5.83,5.86,3.37
"257",0.8,"Premium","D","SI2",61.1,58,3082,5.94,5.9,3.62
"258",0.71,"Very Good","D","VS2",61.8,55,3084,5.72,5.74,3.54
"259",0.75,"Very Good","D","SI1",63.9,56,3085,5.73,5.75,3.67
"260",0.7,"Good","D","VS2",63.9,58,3087,5.58,5.62,3.58
"261",0.7,"Good","D","VS2",63.2,60,3087,5.56,5.61,3.53
"262",0.7,"Good","D","VS2",64.1,59,3087,5.49,5.56,3.54
"263",0.74,"Ideal","D","VS2",61.9,56,3087,5.84,5.79,3.6
"264",0.71,"Ideal","D","VS1",62.5,57,3090,5.71,5.68,3.56
"265",0.71,"Premium","D","VS1",58.1,62,3090,5.89,5.84,3.41
"266",0.7,"Very Good","D","VS2",60.7,58,3092,5.7,5.73,3.47
"267",0.7,"Ideal","D","VS2",61.6,58,3092,5.66,5.7,3.5
"268",0.7,"Ideal","D","VS2",62.3,55,3092,5.67,5.7,3.54
"269",0.7,"Ideal","D","VS1",61.9,57,3093,5.69,5.72,3.53
"270",0.71,"Very Good","D","VS2",63.1,59,3096,5.64,5.67,3.57
"271",0.71,"Very Good","D","VS2",63,58,3096,5.65,5.68,3.57
"272",0.53,"Ideal","D","VVS1",61.6,55,3097,5.21,5.27,3.23
"273",0.72,"Ideal","D","VS2",61.8,57,3099,5.76,5.73,3.55
"274",0.72,"Very Good","D","SI1",60.5,57,3102,5.85,5.89,3.55
"275",0.66,"Ideal","D","VVS2",61.6,57,3103,5.57,5.64,3.45
"276",0.78,"Premium","D","SI1",61.8,59,3103,5.93,5.88,3.65
"277",0.75,"Premium","D","SI1",58.9,60,3105,5.99,5.97,3.52
"278",0.7,"Good","D","VS1",60.4,63,3107,5.73,5.76,3.47
"279",0.79,"Premium","D","SI1",61.4,59,3112,5.89,5.96,3.64
"280",0.94,"Good","D","SI2",57.9,61,3125,6.48,6.43,3.74
"281",0.57,"Very Good","D","VVS1",62.8,56,3126,5.27,5.31,3.32
"282",0.57,"Ideal","D","VVS1",61.6,56,3126,5.33,5.35,3.29
"283",0.7,"Ideal","D","VS2",61.5,56,3129,5.7,5.74,3.52
"284",0.7,"Very Good","D","VS2",61.2,60,3131,5.73,5.77,3.52
"285",0.71,"Very Good","D","VS2",60.3,62,3131,5.69,5.76,3.45
"286",0.71,"Ideal","D","VS2",61.2,56,3135,5.76,5.78,3.53
"287",0.71,"Ideal","D","VS2",60.4,57,3135,5.77,5.82,3.5
"288",0.8,"Very Good","D","VS2",63.1,57,3135,5.94,5.89,3.73
"289",0.81,"Premium","D","SI1",60.7,58,3135,6.07,5.99,3.66
"290",0.71,"Ideal","D","VS1",62.2,55,3136,5.74,5.71,3.56
"291",0.71,"Ideal","D","VS2",62.3,56,3137,5.68,5.72,3.55
"292",0.74,"Very Good","D","SI1",61.5,59,3138,5.76,5.82,3.56
"293",0.72,"Very Good","D","VS2",63.1,59,3139,5.67,5.7,3.59
"294",0.54,"Ideal","D","VVS1",61.4,58,3139,5.28,5.25,3.23
"295",0.73,"Ideal","D","SI1",62.4,53,3140,5.82,5.79,3.62
"296",0.71,"Very Good","D","VS1",58.1,62,3145,5.84,5.89,3.41
"297",0.84,"Very Good","D","SI2",63.6,57,3145,5.95,6,3.8
"298",0.78,"Premium","D","SI1",60.9,55,3145,6,5.93,3.63
"299",0.75,"Ideal","D","SI1",62,58,3152,5.81,5.84,3.61
"300",0.9,"Good","D","SI2",63.9,60,3153,6.07,6.11,3.89
"301",0.71,"Ideal","D","VS2",62,57,3153,5.69,5.73,3.54
"302",0.58,"Ideal","D","VVS1",61.6,60,3154,5.34,5.35,3.29
"303",0.8,"Ideal","D","SI2",61.9,54,3154,6,5.95,3.7
"304",0.77,"Ideal","D","SI1",62.3,56,3158,5.84,5.87,3.65
"305",0.82,"Premium","D","SI2",61.7,56,3159,6.01,5.99,3.7
"306",0.77,"Very Good","D","SI1",58.6,59,3160,6,6.04,3.53
"307",0.81,"Ideal","D","SI2",61.9,54,3160,5.96,5.99,3.7
"308",0.71,"Premium","D","VS2",62.4,59,3161,5.73,5.68,3.56
"309",0.71,"Ideal","D","VS2",62.5,55,3161,5.74,5.71,3.58
"310",0.71,"Premium","D","VS2",59.2,59,3161,5.86,5.8,3.45
"311",0.77,"Very Good","D","SI1",60.3,58,3166,5.89,5.96,3.57
"312",0.8,"Ideal","D","SI2",61.5,58,3173,5.97,6,3.68
"313",0.72,"Ideal","D","SI2",60.5,57,3176,5.82,5.89,3.54
"314",0.74,"Ideal","D","VS2",61.1,54,3177,5.86,5.89,3.59
"315",0.72,"Ideal","D","VS2",60.8,56,3179,5.8,5.84,3.54
"316",0.72,"Ideal","D","VS2",62.1,57,3179,5.69,5.75,3.55
"317",0.72,"Ideal","D","VS2",62.8,57,3179,5.68,5.73,3.58
"318",0.81,"Good","D","SI1",63.9,58,3179,5.9,5.85,3.75
"319",0.73,"Very Good","D","VS2",63.5,58,3182,5.68,5.72,3.62
"320",0.73,"Ideal","D","VS2",62.1,56,3182,5.77,5.8,3.59
"321",0.7,"Premium","D","VS1",60.9,60,3183,5.75,5.71,3.49
"322",0.79,"Ideal","D","SI1",61.2,56,3185,6.02,5.95,3.66
"323",0.73,"Ideal","D","SI1",61.8,56,3189,5.8,5.76,3.57
"324",0.73,"Ideal","D","SI1",61.9,56,3189,5.8,5.77,3.58
"325",0.71,"Ideal","D","VS1",62.2,55,3192,5.71,5.74,3.56
"326",0.7,"Good","D","VS1",60.4,63,3193,5.68,5.74,3.45
"327",0.54,"Premium","D","VVS1",61.4,57.5,3194,5.25,5.28,3.23
"328",0.73,"Ideal","D","SI1",62.4,53,3195,5.79,5.82,3.62
"329",0.8,"Ideal","D","SI1",61.7,56,3195,5.96,6,3.69
"330",0.7,"Ideal","D","SI1",61.7,57,3199,5.76,5.73,3.54
"331",0.71,"Very Good","D","VS2",59.7,55,3203,5.85,5.88,3.5
"332",0.9,"Premium","D","SI2",62.7,59,3205,6.2,6.14,3.87
"333",0.9,"Fair","D","SI2",65.9,59,3205,6,5.95,3.94
"334",0.9,"Fair","D","SI2",66,58,3205,6,5.97,3.95
"335",0.9,"Fair","D","SI2",64.7,54,3205,6.1,6.04,3.93
"336",0.9,"Fair","D","SI2",65.7,60,3205,5.98,5.93,3.91
"337",0.9,"Fair","D","SI2",64.7,59,3205,6.09,5.99,3.91
"338",0.9,"Premium","D","SI2",59,61,3205,6.32,6.28,3.72
"339",0.72,"Premium","D","VS2",60.6,57,3205,5.82,5.79,3.52
"340",0.58,"Ideal","D","VVS1",60.6,57,3206,5.38,5.41,3.27
"341",0.83,"Ideal","D","SI2",62.1,56,3207,6,6.04,3.74
"342",0.7,"Very Good","D","VS1",60.1,60,3208,5.73,5.76,3.45
"343",0.79,"Ideal","D","SI1",61.1,57,3209,5.94,6,3.65
"344",0.8,"Ideal","D","SI2",61.9,54,3210,5.95,6,3.7
"345",0.7,"Premium","D","VVS2",61.5,60,3210,5.71,5.64,3.49
"346",0.71,"Ideal","D","VS2",62.7,57,3212,5.7,5.75,3.59
"347",0.78,"Ideal","D","SI1",61.1,57,3214,5.95,5.97,3.64
"348",0.7,"Premium","D","VS1",62.9,59,3214,5.72,5.66,3.58
"349",0.95,"Good","D","SI2",56.5,61,3214,6.53,6.5,3.68
"350",0.71,"Premium","D","VS2",59.2,59,3217,5.8,5.86,3.45
"351",0.71,"Ideal","D","VS2",62.5,55,3217,5.71,5.74,3.58
"352",0.71,"Very Good","D","VS2",62.4,59,3217,5.68,5.73,3.56
"353",0.52,"Ideal","D","VVS1",62,57,3218,5.15,5.17,3.2
