"","carat","clarity","carat_clarity","mean_price","mean_table","mean_length","mean_width","mean_depth","mean_depth_percent","mean_volume","mean_price_per_volume"
"51",0.29,"VS1","0.29_VS1",524.03,56.27,4.26,4.29,2.63,61.55,48.06,10.9
"52",0.29,"VS2","0.29_VS2",500.43,56.5,4.24,4.27,2.64,62.02,47.8,10.47
"53",0.29,"VVS1","0.29_VVS1",661.71,56.86,4.26,4.28,2.62,61.44,47.77,13.85
"54",0.29,"VVS2","0.29_VVS2",622.03,57.27,4.26,4.29,2.63,61.54,48.06,12.94
"55",0.3,"I1","0.3_I1",495,57,4.39,4.36,2.64,60.3,50.53,9.8
"56",0.3,"IF","0.3_IF",883.65,56.52,4.31,4.33,2.67,61.71,49.83,17.73
"57",0.3,"SI1","0.3_SI1",533.01,57.35,4.29,4.3,2.66,62.03,49.07,10.86
"58",0.3,"SI2","0.3_SI2",461.19,57.81,4.3,4.3,2.66,62.01,49.18,9.38
"59",0.3,"VS1","0.3_VS1",638.05,57.3,4.3,4.3,2.66,61.92,49.18,12.97
"60",0.3,"VS2","0.3_VS2",673.41,57.1,4.3,4.31,2.66,61.89,49.3,13.66
"61",0.3,"VVS1","0.3_VVS1",811.79,56.95,4.3,4.31,2.67,61.93,49.48,16.41
"62",0.3,"VVS2","0.3_VVS2",749.2,57.04,4.3,4.31,2.66,61.86,49.3,15.2
"63",0.31,"I1","0.31_I1",394,59,4.33,4.29,2.71,62.9,50.34,7.83
"64",0.31,"IF","0.31_IF",946.52,56,4.36,4.38,2.69,61.56,51.37,18.43
"65",0.31,"SI1","0.31_SI1",563.86,56.82,4.35,4.35,2.7,62.04,51.09,11.04
"66",0.31,"SI2","0.31_SI2",486.87,56.97,4.35,4.36,2.7,61.93,51.21,9.51
"67",0.31,"VS1","0.31_VS1",675.77,56.89,4.35,4.36,2.69,61.73,51.02,13.25
"68",0.31,"VS2","0.31_VS2",679.32,56.74,4.35,4.36,2.69,61.7,51.02,13.31
"69",0.31,"VVS1","0.31_VVS1",834.51,56.72,4.36,4.37,2.69,61.57,51.25,16.28
"70",0.31,"VVS2","0.31_VVS2",774.59,56.63,4.35,4.36,2.69,61.78,51.02,15.18
"71",0.32,"I1","0.32_I1",421.6,56.2,4.39,4.38,2.72,62.1,52.3,8.06
"72",0.32,"IF","0.32_IF",923.63,55.99,4.41,4.43,2.72,61.46,53.14,17.38
"73",0.32,"SI1","0.32_SI1",585.35,56.85,4.39,4.4,2.72,61.99,52.54,11.14
"74",0.32,"SI2","0.32_SI2",489.55,56.51,4.39,4.39,2.73,62.11,52.61,9.31
"75",0.32,"VS1","0.32_VS1",693.39,56.7,4.4,4.41,2.72,61.64,52.78,13.14
"76",0.32,"VS2","0.32_VS2",693.99,56.8,4.4,4.4,2.71,61.69,52.47,13.23
"77",0.32,"VVS1","0.32_VVS1",877.83,56.34,4.4,4.41,2.72,61.6,52.78,16.63
"78",0.32,"VVS2","0.32_VVS2",805.52,56.36,4.4,4.41,2.72,61.69,52.78,15.26
"79",0.33,"IF","0.33_IF",944.28,56.13,4.46,4.47,2.74,61.43,54.63,17.29
"80",0.33,"SI1","0.33_SI1",606.6,56.93,4.44,4.45,2.74,61.71,54.14,11.2
"81",0.33,"SI2","0.33_SI2",512.32,56.57,4.45,4.46,2.75,61.69,54.58,9.39
"82",0.33,"VS1","0.33_VS1",731.91,57.2,4.45,4.46,2.74,61.4,54.38,13.46
"83",0.33,"VS2","0.33_VS2",735.63,56.95,4.45,4.45,2.74,61.59,54.26,13.56
"84",0.33,"VVS1","0.33_VVS1",919.58,56.41,4.45,4.46,2.74,61.62,54.38,16.91
"85",0.33,"VVS2","0.33_VVS2",814.95,56.77,4.45,4.46,2.74,61.6,54.38,14.99
"86",0.34,"I1","0.34_I1",809.2,57.2,4.54,4.52,2.75,60.72,56.43,14.34
"87",0.34,"IF","0.34_IF",1067.42,55.66,4.5,4.52,2.77,61.47,56.34,18.95
"88",0.34,"SI1","0.34_SI1",628.21,56.92,4.49,4.5,2.77,61.6,55.97,11.22
"89",0.34,"SI2","0.34_SI2",522.27,57.92,4.49,4.5,2.77,61.7,55.97,9.33
"90",0.34,"VS1","0.34_VS1",761.98,56.75,4.49,4.5,2.77,61.57,55.97,13.61
"91",0.34,"VS2","0.34_VS2",730.95,56.88,4.5,4.49,2.77,61.62,55.97,13.06
"92",0.34,"VVS1","0.34_VVS1",939.23,56.59,4.49,4.5,2.77,61.55,55.97,16.78
"93",0.34,"VVS2","0.34_VVS2",838.42,56.64,4.49,4.5,2.77,61.58,55.97,14.98
"94",0.35,"IF","0.35_IF",984.8,55.91,4.55,4.57,2.8,61.36,58.22,16.92
"95",0.35,"SI1","0.35_SI1",661.64,56.9,4.53,4.54,2.8,61.78,57.59,11.49
"96",0.35,"SI2","0.35_SI2",552.93,56.81,4.52,4.52,2.81,62.13,57.41,9.63
"97",0.35,"VS1","0.35_VS1",796.98,57.16,4.54,4.55,2.8,61.58,57.84,13.78
"98",0.35,"VS2","0.35_VS2",808.65,56.82,4.55,4.55,2.8,61.53,57.97,13.95
"99",0.35,"VVS1","0.35_VVS1",969.67,56.85,4.54,4.55,2.79,61.28,57.63,16.83
"100",0.35,"VVS2","0.35_VVS2",829.62,56.52,4.53,4.54,2.8,61.7,57.59,14.41
"101",0.36,"IF","0.36_IF",1014.76,56.55,4.59,4.61,2.82,61.29,59.67,17.01
"102",0.36,"SI1","0.36_SI1",667.56,57.04,4.58,4.58,2.82,61.65,59.15,11.29
"103",0.36,"SI2","0.36_SI2",553.79,57.33,4.58,4.58,2.82,61.53,59.15,9.36
"104",0.36,"VS1","0.36_VS1",824.93,57,4.59,4.6,2.82,61.42,59.54,13.86
"105",0.36,"VS2","0.36_VS2",807.81,56.95,4.58,4.59,2.82,61.43,59.28,13.63
"106",0.36,"VVS1","0.36_VVS1",948.78,56.1,4.59,4.61,2.82,61.51,59.67,15.9
"107",0.36,"VVS2","0.36_VVS2",871.92,56.15,4.58,4.6,2.82,61.58,59.41,14.68
"108",0.37,"IF","0.37_IF",998.6,55.9,4.65,4.68,2.84,60.94,61.8,16.16
"109",0.37,"SI1","0.37_SI1",679.87,57.08,4.62,4.62,2.85,61.7,60.83,11.18
"110",0.37,"SI2","0.37_SI2",556.46,57,4.63,4.63,2.85,61.57,61.1,9.11
"111",0.37,"VS1","0.37_VS1",829.95,57.16,4.63,4.64,2.84,61.31,61.01,13.6
"112",0.37,"VS2","0.37_VS2",815.31,57.6,4.62,4.63,2.83,61.27,60.54,13.47
"113",0.37,"VVS1","0.37_VVS1",1018.19,56.19,4.62,4.64,2.85,61.47,61.09,16.67
"114",0.37,"VVS2","0.37_VVS2",928.38,57.11,4.63,4.64,2.84,61.18,61.01,15.22
"115",0.38,"I1","0.38_I1",567.5,57,4.62,4.62,2.89,62.5,61.69,9.2
"116",0.38,"IF","0.38_IF",1231.26,56.63,4.68,4.71,2.87,61.14,63.26,19.46
"117",0.38,"SI1","0.38_SI1",724.46,57.13,4.67,4.68,2.86,61.27,62.51,11.59
"118",0.38,"SI2","0.38_SI2",639,56.9,4.66,4.67,2.87,61.45,62.46,10.23
"119",0.38,"VS1","0.38_VS1",932.35,56.59,4.66,4.67,2.87,61.58,62.46,14.93
"120",0.38,"VS2","0.38_VS2",844.63,57.36,4.66,4.67,2.86,61.26,62.24,13.57
"121",0.38,"VVS1","0.38_VVS1",1139.71,56.75,4.66,4.68,2.87,61.54,62.59,18.21
"122",0.38,"VVS2","0.38_VVS2",1004.98,56.06,4.66,4.68,2.87,61.62,62.59,16.06
"123",0.39,"I1","0.39_I1",583,57,4.64,4.64,2.91,62.8,62.65,9.31
"124",0.39,"IF","0.39_IF",1235.96,56.53,4.72,4.74,2.89,61.01,64.66,19.11
"125",0.39,"SI1","0.39_SI1",742.06,56.82,4.7,4.72,2.9,61.51,64.33,11.54
"126",0.39,"SI2","0.39_SI2",637.2,57.15,4.68,4.76,2.98,61.74,66.38,9.6
"127",0.39,"VS1","0.39_VS1",937.89,57,4.69,4.7,2.9,61.68,63.92,14.67
"128",0.39,"VS2","0.39_VS2",852.35,57.63,4.7,4.71,2.89,61.5,63.98,13.32
"129",0.39,"VVS1","0.39_VVS1",1044.9,57.05,4.69,4.71,2.89,61.49,63.84,16.37
"130",0.39,"VVS2","0.39_VVS2",1016.09,56.84,4.69,4.71,2.9,61.65,64.06,15.86
"131",0.4,"I1","0.4_I1",560.5,60.2,4.66,4.66,2.95,63.3,64.06,8.75
"132",0.4,"IF","0.4_IF",1186,56.78,4.73,4.75,2.93,61.92,65.83,18.02
"133",0.4,"SI1","0.4_SI1",795.88,57.66,4.72,4.72,2.93,62.09,65.28,12.19
"134",0.4,"SI2","0.4_SI2",693.75,56.94,4.72,4.73,2.94,62.14,65.64,10.57
"135",0.4,"VS1","0.4_VS1",953.76,57.21,4.73,4.74,2.93,61.82,65.69,14.52
"136",0.4,"VS2","0.4_VS2",895.43,57.23,4.72,4.73,2.93,61.98,65.41,13.69
"137",0.4,"VVS1","0.4_VVS1",1166.78,56.77,4.73,4.75,2.92,61.68,65.61,17.78
"138",0.4,"VVS2","0.4_VVS2",1059.88,57.04,4.74,4.75,2.92,61.55,65.74,16.12
"139",0.41,"I1","0.41_I1",554,56.5,4.71,4.71,3,63.8,66.55,8.32
"140",0.41,"IF","0.41_IF",1255.49,55.64,4.77,4.79,2.96,62.01,67.63,18.56
"141",0.41,"SI1","0.41_SI1",825.99,57.42,4.76,4.77,2.96,62.06,67.21,12.29
"142",0.41,"SI2","0.41_SI2",734.88,57.19,4.77,4.77,2.95,61.96,67.12,10.95
"143",0.41,"VS1","0.41_VS1",989.6,56.95,4.77,4.78,2.95,61.67,67.26,14.71
"144",0.41,"VS2","0.41_VS2",932.19,56.88,4.77,4.77,2.95,61.79,67.12,13.89
"145",0.41,"VVS1","0.41_VVS1",1193.65,56.82,4.78,4.79,2.95,61.61,67.54,17.67
"146",0.41,"VVS2","0.41_VVS2",1104.07,56.8,4.77,4.78,2.95,61.72,67.26,16.41
"147",0.42,"IF","0.42_IF",1264.62,55.72,4.82,4.83,2.98,61.68,69.38,18.23
"148",0.42,"SI1","0.42_SI1",843.67,57.19,4.81,4.81,2.98,61.95,68.95,12.24
"149",0.42,"SI2","0.42_SI2",738.25,57.34,4.82,4.83,2.97,61.49,69.14,10.68
"150",0.42,"VS1","0.42_VS1",1025.53,57.15,4.82,4.83,2.96,61.37,68.91,14.88
"151",0.42,"VS2","0.42_VS2",959.27,56.75,4.81,4.82,2.97,61.65,68.86,13.93
"152",0.42,"VVS1","0.42_VVS1",1218.2,56.39,4.82,4.83,2.97,61.53,69.14,17.62
"153",0.42,"VVS2","0.42_VVS2",1127,56.56,4.81,4.82,2.97,61.64,68.86,16.37
"154",0.43,"I1","0.43_I1",575.25,60.5,4.89,4.89,2.94,60.2,70.3,8.18
"155",0.43,"IF","0.43_IF",1300.26,56.06,4.85,4.87,3,61.73,70.86,18.35
"156",0.43,"SI1","0.43_SI1",863.51,57.02,4.84,4.84,3,61.98,70.28,12.29
"157",0.43,"SI2","0.43_SI2",778.55,57.62,4.86,4.86,2.99,61.62,70.62,11.02
"158",0.43,"VS1","0.43_VS1",1020.82,57.01,4.86,4.87,2.99,61.5,70.77,14.42
"159",0.43,"VS2","0.43_VS2",970.09,57.28,4.86,4.87,2.98,61.35,70.53,13.75
"160",0.43,"VVS1","0.43_VVS1",1266.92,56.7,4.86,4.87,2.99,61.4,70.77,17.9
"161",0.43,"VVS2","0.43_VVS2",1109.27,56.65,4.86,4.87,2.99,61.48,70.77,15.67
"162",0.44,"IF","0.44_IF",1397.5,55.7,4.91,4.94,3.02,61.37,73.25,19.08
"163",0.44,"SI1","0.44_SI1",902.95,57.64,4.88,4.88,3.02,61.84,71.92,12.55
"164",0.44,"SI2","0.44_SI2",782.8,58.2,4.92,4.92,3,61.01,72.62,10.78
"165",0.44,"VS1","0.44_VS1",1070.11,56.92,4.88,4.88,3.02,61.78,71.92,14.88
"166",0.44,"VS2","0.44_VS2",989.72,57.69,4.89,4.9,3.01,61.46,72.12,13.72
"167",0.44,"VVS1","0.44_VVS1",1296,56.94,4.9,4.92,3.01,61.25,72.57,17.86
"168",0.44,"VVS2","0.44_VVS2",1180.85,56.99,4.91,4.92,3.01,61.26,72.71,16.24
"169",0.45,"IF","0.45_IF",1362.29,55.57,4.95,4.98,3.05,61.5,75.19,18.12
"170",0.45,"SI1","0.45_SI1",905.06,57.41,4.91,4.89,3.05,62.31,73.23,12.36
"171",0.45,"SI2","0.45_SI2",792.77,58.08,4.92,4.9,3.04,61.81,73.29,10.82
"172",0.45,"VS1","0.45_VS1",1109.96,58.5,4.92,4.93,3.02,61.39,73.25,15.15
"173",0.45,"VS2","0.45_VS2",997.94,57.91,4.87,4.84,3.06,63.14,72.13,13.84
"174",0.45,"VVS1","0.45_VVS1",1294.43,57.52,4.94,4.94,3.03,61.29,73.94,17.51
"175",0.45,"VVS2","0.45_VVS2",1295.45,57.36,4.93,4.9,3.04,61.8,73.44,17.64
"176",0.46,"IF","0.46_IF",1629.62,56.56,4.99,5.02,3.04,60.89,76.15,21.4
"177",0.46,"SI1","0.46_SI1",982.69,56.98,4.95,4.96,3.07,62.08,75.37,13.04
"178",0.46,"SI2","0.46_SI2",862.6,56.51,4.96,4.97,3.06,61.68,75.43,11.44
"179",0.46,"VS1","0.46_VS1",1274.4,57.66,4.95,4.97,3.05,61.55,75.03,16.99
"180",0.46,"VS2","0.46_VS2",1162.54,57.41,4.95,4.94,3.07,62.15,75.07,15.49
"181",0.46,"VVS1","0.46_VVS1",1466.34,56.26,4.94,4.97,3.08,62.15,75.62,19.39
"182",0.46,"VVS2","0.46_VVS2",1366.44,56.99,4.94,4.98,3.07,61.84,75.53,18.09
"183",0.47,"IF","0.47_IF",1786.6,56.4,5.01,5.01,3.1,61.84,77.81,22.96
"184",0.47,"SI1","0.47_SI1",987.24,58.33,5,4.98,3.07,61.51,76.44,12.92
"185",0.47,"SI2","0.47_SI2",876.25,57.25,4.99,4.99,3.08,61.7,76.69,11.43
"186",0.47,"VS1","0.47_VS1",1419.7,58.24,5,5.01,3.07,61.42,76.9,18.46
"187",0.47,"VS2","0.47_VS2",1109.9,57.28,5.02,5.05,3.06,60.82,77.57,14.31
"188",0.47,"VVS1","0.47_VVS1",1741.77,56.31,4.98,5.01,3.1,62.05,77.34,22.52
"189",0.47,"VVS2","0.47_VVS2",1633.43,55.93,4.99,5.01,3.08,61.63,77,21.21
"190",0.48,"IF","0.48_IF",1957,54.67,5.03,5.08,3.11,61.6,79.47,24.63
"191",0.48,"SI1","0.48_SI1",1022.94,58.28,5.05,5.05,3.09,61.21,78.8,12.98
"192",0.48,"SI2","0.48_SI2",953.83,58.83,5.08,5.06,3.06,60.32,78.66,12.13
"193",0.48,"VS1","0.48_VS1",1322.07,58.64,5.06,5.1,3.07,60.42,79.22,16.69
"194",0.48,"VS2","0.48_VS2",1234.17,57.63,5.03,5.04,3.11,61.78,78.84,15.65
"195",0.48,"VVS1","0.48_VVS1",2038.33,55.33,5.05,5.05,3.11,61.63,79.31,25.7
"196",0.48,"VVS2","0.48_VVS2",1670.5,56,5.03,5.03,3.11,61.97,78.69,21.23
"197",0.49,"IF","0.49_IF",1865,56,5.16,5.19,3.09,59.7,82.75,22.54
"198",0.49,"SI1","0.49_SI1",1140,58.24,5.09,5.07,3.11,61.2,80.26,14.2
"199",0.49,"SI2","0.49_SI2",1024.75,58.38,5.13,5.1,3.1,60.67,81.11,12.63
"200",0.49,"VS1","0.49_VS1",1484.38,60.11,5.11,5.15,3.06,59.7,80.53,18.43
"201",0.49,"VS2","0.49_VS2",1253,58.82,5.14,5.11,3.08,60.17,80.9,15.49
"202",0.49,"VVS1","0.49_VVS1",1952,56,5.04,5.08,3.14,62.2,80.39,24.28
"203",0.49,"VVS2","0.49_VVS2",1858,57.75,5.06,5.04,3.14,62.12,80.08,23.2
"204",0.5,"I1","0.5_I1",773.67,58.83,5.05,4.96,3.2,64.02,80.15,9.65
"205",0.5,"IF","0.5_IF",2223.1,57.6,5.1,5.12,3.15,61.65,82.25,27.03
"206",0.5,"SI1","0.5_SI1",1281.6,58.15,5.08,5.07,3.15,62.13,81.13,15.8
"207",0.5,"SI2","0.5_SI2",1107.56,57.9,5.1,5.08,3.14,61.77,81.35,13.61
"208",0.5,"VS1","0.5_VS1",1612.58,57.86,5.09,5.09,3.15,61.87,81.61,19.76
"209",0.5,"VS2","0.5_VS2",1553.41,57.65,5.09,5.09,3.16,62.07,81.87,18.97
"210",0.5,"VVS1","0.5_VVS1",1924.2,57.24,5.09,5.1,3.19,61.89,82.81,23.24
"211",0.5,"VVS2","0.5_VVS2",1955.46,57.4,5.08,5.1,3.15,61.93,81.61,23.96
"212",0.51,"I1","0.51_I1",948.5,58,5.22,5.14,3.11,60.05,83.44,11.37
"213",0.51,"IF","0.51_IF",2297.2,56.05,5.13,5.17,3.18,61.8,84.34,27.24
"214",0.51,"SI1","0.51_SI1",1371.16,57.02,5.13,5.12,3.18,62.01,83.52,16.42
"215",0.51,"SI2","0.51_SI2",1153.2,56.99,5.14,5.14,3.16,61.55,83.49,13.81
"216",0.51,"VS1","0.51_VS1",1731.01,56.86,5.14,5.3,3.33,61.58,90.72,19.08
"217",0.51,"VS2","0.51_VS2",1613.13,57.08,5.13,5.13,3.17,61.82,83.42,19.34
"218",0.51,"VVS1","0.51_VVS1",2173.12,56.71,5.14,5.15,3.17,61.71,83.91,25.9
"219",0.51,"VVS2","0.51_VVS2",2045.48,57.09,5.13,5.14,3.17,61.72,83.59,24.47
"220",0.52,"I1","0.52_I1",959.33,57.67,5.19,5.16,3.19,61.63,85.43,11.23
"221",0.52,"IF","0.52_IF",2278.26,56.61,5.17,5.2,3.19,61.48,85.76,26.57
"222",0.52,"SI1","0.52_SI1",1361.53,57.32,5.17,5.17,3.19,61.71,85.27,15.97
"223",0.52,"SI2","0.52_SI2",1171.26,56.92,5.16,5.17,3.19,61.66,85.1,13.76
"224",0.52,"VS1","0.52_VS1",1748.27,56.79,5.17,5.18,3.19,61.61,85.43,20.46
"225",0.52,"VS2","0.52_VS2",1661.1,56.59,5.17,5.17,3.19,61.77,85.27,19.48
"226",0.52,"VVS1","0.52_VVS1",2150,56.48,5.18,5.2,3.18,61.29,85.66,25.1
"227",0.52,"VVS2","0.52_VVS2",2047.37,56.82,5.18,5.19,3.18,61.43,85.49,23.95
"228",0.53,"I1","0.53_I1",886,58,5.22,5.18,3.19,61.3,86.26,10.27
"229",0.53,"IF","0.53_IF",2400.39,56.61,5.22,5.24,3.21,61.39,87.8,27.34
"230",0.53,"SI1","0.53_SI1",1388.82,56.78,5.2,5.21,3.21,61.73,86.97,15.97
"231",0.53,"SI2","0.53_SI2",1171.3,56.51,5.21,5.22,3.21,61.57,87.3,13.42
"232",0.53,"VS1","0.53_VS1",1738.03,56.74,5.21,5.22,3.21,61.63,87.3,19.91
"233",0.53,"VS2","0.53_VS2",1668.36,56.56,5.21,5.21,3.21,61.53,87.13,19.15
"234",0.53,"VVS1","0.53_VVS1",2359.88,55.84,5.2,5.23,3.21,61.54,87.3,27.03
"235",0.53,"VVS2","0.53_VVS2",2099.95,56.42,5.2,5.24,3.21,61.62,87.47,24.01
"236",0.54,"IF","0.54_IF",2106.82,56.59,5.25,5.28,3.23,61.32,89.54,23.53
"237",0.54,"SI1","0.54_SI1",1445.14,57.2,5.24,5.24,3.23,61.6,88.69,16.29
"238",0.54,"SI2","0.54_SI2",1179.86,57.06,5.23,5.24,3.22,61.54,88.24,13.37
"239",0.54,"VS1","0.54_VS1",1772.55,56.79,5.24,5.25,3.23,61.58,88.86,19.95
"240",0.54,"VS2","0.54_VS2",1710.43,56.73,5.25,5.25,3.22,61.41,88.75,19.27
"241",0.54,"VVS1","0.54_VVS1",2170.43,56.17,5.25,5.26,3.23,61.44,89.2,24.33
"242",0.54,"VVS2","0.54_VVS2",2129.83,56.19,5.25,5.27,3.23,61.34,89.37,23.83
"243",0.55,"IF","0.55_IF",2374.92,56.92,5.28,5.33,3.23,60.85,90.9,26.13
"244",0.55,"SI1","0.55_SI1",1469.38,57.13,5.27,5.28,3.24,61.46,90.15,16.3
"245",0.55,"SI2","0.55_SI2",1218.04,56.8,5.27,5.27,3.24,61.54,89.98,13.54
"246",0.55,"VS1","0.55_VS1",1880.51,56.29,5.28,5.29,3.24,61.44,90.5,20.78
"247",0.55,"VS2","0.55_VS2",1695.1,56.98,5.28,5.29,3.23,61.32,90.22,18.79
"248",0.55,"VVS1","0.55_VVS1",2170.19,56.22,5.27,5.29,3.25,61.55,90.6,23.95
"249",0.55,"VVS2","0.55_VVS2",2244.32,56.35,5.28,5.3,3.24,61.32,90.67,24.75
"250",0.56,"I1","0.56_I1",953,60,5.3,5.15,3.27,62.6,89.25,10.68
"251",0.56,"IF","0.56_IF",2827.15,56.25,5.3,5.33,3.27,61.55,92.37,30.61
"252",0.56,"SI1","0.56_SI1",1531.87,57.11,5.29,5.3,3.27,61.66,91.68,16.71
"253",0.56,"SI2","0.56_SI2",1265.81,57.46,5.31,5.31,3.26,61.5,91.92,13.77
"254",0.56,"VS1","0.56_VS1",1917.47,57.05,5.31,5.32,3.26,61.28,92.09,20.82
"255",0.56,"VS2","0.56_VS2",1778.71,56.8,5.31,5.31,3.26,61.44,91.92,19.35
"256",0.56,"VVS1","0.56_VVS1",2127.61,56.08,5.3,5.31,3.27,61.6,92.03,23.12
"257",0.56,"VVS2","0.56_VVS2",2256.2,56.42,5.32,5.34,3.26,61.27,92.61,24.36
"258",0.57,"I1","0.57_I1",974,56.95,5.44,5.44,3.24,59.5,95.88,10.16
"259",0.57,"IF","0.57_IF",2523.88,56.75,5.35,5.38,3.27,61.02,94.12,26.82
"260",0.57,"SI1","0.57_SI1",1515.67,56.96,5.33,5.33,3.29,61.63,93.47,16.22
"261",0.57,"SI2","0.57_SI2",1270.49,57.12,5.34,5.34,3.28,61.39,93.53,13.58
"262",0.57,"VS1","0.57_VS1",1901.28,56.28,5.34,5.36,3.29,61.46,94.17,20.19
"263",0.57,"VS2","0.57_VS2",1767.38,56.97,5.34,5.34,3.28,61.48,93.53,18.9
"264",0.57,"VVS1","0.57_VVS1",2445.96,56.8,5.34,5.36,3.28,61.38,93.88,26.05
"265",0.57,"VVS2","0.57_VVS2",2300.41,56.35,5.34,5.35,3.28,61.45,93.71,24.55
"266",0.58,"I1","0.58_I1",893,55.5,5.2,5.11,3.41,66.05,90.61,9.86
