"","carat","cut","color","clarity","depth_percent","table","price","length","width","depth"
"57",2.5,"Fair","H","SI2",64.9,58,13278,8.46,8.43,5.48
"58",2.3,"Premium","H","SI2",60.6,59,14042,8.4,8.37,5.08
"59",1.8,"Ideal","H","VS1",62.3,56,15105,7.79,7.76,4.84
"60",2.05,"Premium","G","SI1",61.6,59,15291,8.2,8.16,5.04
"61",2.01,"Premium","I","VS2",60.3,62,15939,8.13,8.08,4.89
"62",2.66,"Good","H","SI2",63.8,57,16239,8.71,8.65,5.54
"63",2.54,"Very Good","H","SI2",63.5,56,16353,8.68,8.65,5.5
"64",2.42,"Premium","J","VS2",61.3,59,17168,8.61,8.58,5.27
"65",0.32,"Ideal","H","VVS2",61.8,55,645,4.38,4.42,2.72
"66",3.01,"Fair","I","SI2",65.8,56,18242,8.99,8.94,5.9
"67",3.01,"Good","I","SI2",63.9,60,18242,9.06,9.01,5.77
"68",0.32,"Premium","H","VS2",60.6,58,648,4.47,4.44,2.7
"69",0.4,"Ideal","J","VVS2",61.8,55,662,4.76,4.79,2.95
"70",0.36,"Ideal","D","SI1",62.7,57,663,4.54,4.59,2.86
"71",0.33,"Ideal","G","VS1",62.1,55,666,4.43,4.46,2.76
"72",0.33,"Ideal","G","VS1",62.1,56,666,4.4,4.42,2.74
"73",0.3,"Ideal","G","VS2",63,55,675,4.31,4.29,2.71
"74",0.31,"Ideal","H","VVS1",61.6,55,687,4.37,4.4,2.7
"75",0.32,"Ideal","E","VS2",62.1,55,702,4.36,4.4,2.72
"76",0.32,"Ideal","D","SI1",62.9,56,706,4.4,4.38,2.76
"77",0.35,"Ideal","F","VS2",61.4,54,706,4.54,4.58,2.8
"78",0.3,"Premium","D","SI1",62.2,58,709,4.31,4.28,2.67
"79",0.4,"Very Good","D","SI1",63,57,720,4.66,4.7,2.95
"80",0.33,"Ideal","H","VVS1",61.7,55,730,4.48,4.5,2.77
"81",0.31,"Very Good","D","SI1",63.5,56,732,4.31,4.29,2.73
"82",0.31,"Ideal","D","VS2",62.1,54,734,4.33,4.37,2.7
"83",0.4,"Premium","F","SI1",62.5,59,737,4.67,4.71,2.93
"84",0.33,"Ideal","E","SI1",62.5,55,743,4.45,4.42,2.77
"85",0.46,"Ideal","F","SI2",61.5,54,758,4.98,5.01,3.07
"86",0.32,"Ideal","D","VS2",61.6,56,758,4.37,4.4,2.7
"87",0.3,"Ideal","H","SI1",62.2,57,450,4.26,4.29,2.66
"88",0.3,"Ideal","H","SI1",62.2,57,450,4.27,4.28,2.66
"89",0.31,"Ideal","H","IF",62.2,54,789,4.38,4.4,2.73
"90",0.31,"Ideal","H","VVS2",62.4,57,802,4.36,4.32,2.71
"91",0.32,"Ideal","G","VVS1",61.2,55,814,4.41,4.44,2.71
"92",0.41,"Premium","G","VS2",61.4,59,827,4.75,4.79,2.93
"93",0.32,"Ideal","H","VVS2",61.8,55,828,4.42,4.38,2.72
"94",0.32,"Ideal","E","VVS2",62.3,56,842,4.37,4.4,2.73
"95",0.36,"Ideal","D","SI1",62.7,57,851,4.59,4.54,2.86
"96",0.33,"Ideal","G","VS1",62.1,55,854,4.46,4.43,2.76
"97",0.33,"Ideal","G","VS1",62.1,56,854,4.42,4.4,2.74
"98",0.3,"Ideal","G","IF",62.1,55,863,4.32,4.35,2.69
"99",0.33,"Ideal","G","VVS1",62,56,868,4.45,4.48,2.77
"100",0.31,"Premium","E","VS2",61.6,59,872,4.35,4.32,2.67
"101",0.32,"Ideal","E","VS2",62.1,55,900,4.4,4.36,2.72
"102",0.35,"Ideal","F","VS2",61.4,54,906,4.58,4.54,2.8
"103",0.31,"Ideal","D","VS2",62.1,54,942,4.37,4.33,2.7
"104",0.43,"Ideal","G","VS1",61.9,55,943,4.84,4.86,3
"105",0.4,"Premium","F","SI1",62.5,59,945,4.71,4.67,2.93
"106",0.35,"Premium","J","VS1",62.4,58,949,5.67,5.64,3.53
"107",0.42,"Ideal","E","VS2",62.4,55,958,4.79,4.83,3
"108",0.32,"Ideal","D","VS2",61.6,56,972,4.4,4.37,2.7
"109",0.4,"Premium","F","VS1",61.4,58,982,4.73,4.75,2.91
"110",0.53,"Premium","E","SI2",59.9,58,984,5.31,5.27,3.17
"111",0.53,"Premium","E","SI2",62.2,57,984,5.2,5.16,3.22
"112",0.5,"Premium","D","SI2",62.9,58,997,5.06,5.01,3.17
"113",0.43,"Ideal","G","VS1",61.9,55,1008,4.86,4.84,3
"114",0.42,"Ideal","E","VS2",62.4,55,1024,4.83,4.79,3
"115",0.5,"Fair","F","SI2",65.5,54,1031,5.06,4.92,3.25
"116",0.4,"Premium","H","VS1",62.6,58,1035,4.71,4.68,2.94
"117",0.31,"Very Good","H","VS2",63,57,489,4.32,4.34,2.73
"118",0.4,"Ideal","G","VVS1",62.3,54,1043,4.75,4.76,2.96
"119",0.4,"Premium","F","VS1",61.4,58,1050,4.75,4.73,2.91
"120",0.51,"Premium","F","SI2",58.1,59,1052,5.26,5.24,3.05
"121",0.57,"Premium","E","SI2",62.5,54,1058,5.35,5.3,3.33
"122",0.41,"Premium","G","VS2",61.4,59,1061,4.79,4.75,2.93
"123",0.32,"Ideal","D","VVS1",61.8,56,1067,4.39,4.41,2.72
"124",0.52,"Premium","F","SI2",62.7,57,1073,5.11,5.07,3.19
"125",0.52,"Premium","G","SI2",58.4,62,1076,5.33,5.28,3.1
"126",0.32,"Ideal","E","VVS2",62.3,56,1080,4.4,4.37,2.73
"127",0.33,"Ideal","G","VVS1",62,56,1114,4.48,4.45,2.77
"128",0.32,"Ideal","D","VVS1",61.8,56,1140,4.41,4.39,2.72
"129",0.6,"Premium","D","SI2",62,57,1196,5.43,5.35,3.34
"130",0.33,"Ideal","F","IF",61.2,56,1240,4.47,4.49,2.74
"131",0.6,"Very Good","E","SI2",63.2,60,1250,5.32,5.28,3.35
"132",0.34,"Ideal","F","IF",61.7,55,1276,4.49,4.52,2.78
"133",0.41,"Ideal","G","IF",61.7,56,1367,4.77,4.8,2.95
"134",0.3,"Very Good","J","VS1",63.4,57,506,4.26,4.23,2.69
"135",0.35,"Fair","G","VS2",65.9,54,1415,5.57,5.53,3.66
"136",0.54,"Ideal","E","SI1",61.3,56,1422,5.22,5.25,3.21
"137",0.41,"Ideal","G","IF",61.7,56,1431,4.8,4.77,2.95
"138",0.71,"Good","E","SI2",57.5,58,1783,5.91,5.89,3.39
"139",0.3,"Very Good","G","VS2",63,55,526,4.29,4.31,2.71
"140",0.52,"Ideal","D","VS2",61.8,55,1822,5.16,5.19,3.2
"141",0.3,"Good","J","VS1",63.4,57,394,4.23,4.26,2.69
"142",0.52,"Ideal","D","VS2",61.8,55,1919,5.19,5.16,3.2
"143",0.51,"Ideal","F","VVS2",61.2,56,2093,5.17,5.19,3.17
"144",0.71,"Good","F","SI2",64.1,60,2130,0,0,0
"145",0.51,"Ideal","F","VVS2",61.2,56,2203,5.19,5.17,3.17
"146",0.5,"Fair","E","VS2",79,73,2579,5.21,5.18,4.09
